,loss,accuracy
Adam,0.16519868485527678,0.9736841917037964
SGD,0.17848385213970305,0.9824561476707458
Adagrad,0.19211020118466568,0.9824561476707458
Adam,0.08997583882719801,0.9824561476707458
SGD,0.12017489275323194,0.9824561476707458
Adagrad,0.13188514185317776,0.9824561476707458
,loss,accuracy
adam,0.1742526216987978,0.9649122953414917
<keras.optimizers.SGD object at 0x000001D69A1115F8>,13.30370411119963,0.5350877046585083
<keras.optimizers.Adagrad object at 0x000001D69A111C88>,15.44122446629039,0.5350877046585083
